"","id","Decimal.Latitude","Decimal.Longitude"
"650",14478,55.443204,-97.404876
"651",4145,50,-86
"652",3153,48.99722,-97.22917
"653",2899,48.99722,-97.22917
"654",2902,48.99722,-97.22917
"655",2874,48.99722,-97.22917
"656",13801,55.410147,-105.758445
"657",14604,55.443204,-97.404876
"658",3703,46.5,-66.75
"659",14224,46.666605,-66.291594
"660",14844,43.726137,-66.338079
"661",14205,55.142948,-114.807219
"662",1935,43.54861,-61.07667
"663",4226,55,-97
"664",13786,55.443204,-97.404876
"665",13909,55.410147,-105.758445
"666",13618,60.108611,-113.6425
"667",2855,48.99722,-97.22917
"668",2889,48.99722,-97.22917
"669",2998,48.99722,-97.22917
"670",14772,55.410147,-105.758445
"671",14810,55.443204,-97.404876
"672",13889,45.290147,-62.735984
"673",14101,55.443204,-97.404876
"674",10351,-34.33333,17.96667
"675",13577,60.108611,-113.6425
"676",14316,56.159482,-125.441985
"677",14644,55.410147,-105.758445
"678",1034,59.16667,-109.5
"679",14021,56.159482,-125.441985
"680",14654,55.410147,-105.758445
"681",14758,60.108611,-113.6425
"682",14652,51.433288,-87.125633
"683",13956,51.433288,-87.125633
"684",14729,55.443204,-97.404876
"685",3782,45,-63
"686",3864,54,-72
"687",14279,55.443204,-97.404876
"688",4210,55,-97
"689",3360,60,-98
"690",13581,60.108611,-113.6425
"691",14089,46.666605,-66.291594
"692",4007,50,-86
"693",14071,46.666605,-66.291594
"694",14640,55.142948,-114.807219
"695",13803,55.410147,-105.758445
"696",3855,55,-125
"697",14440,51.433288,-87.125633
"698",1037,60,-96
"699",3853,54,-72
"700",13945,55.142948,-114.807219
"701",1550,55.33333,3
"702",4689,55.63472,2.86417
"703",2924,48.99722,-97.22917
"704",3009,48.99722,-97.22917
"705",14646,55.142948,-114.807219
"706",4116,55,-115
"707",14766,60.108611,-113.6425
"708",13957,52.941847,-73.107078
"709",14621,55.443204,-97.404876
"710",3302,60,-98
"711",13808,55.443204,-97.404876
"712",3996,55,-125
"713",14515,55.443204,-97.404876
"714",14081,52.941847,-73.107078
"715",3025,48.99722,-97.22917
"716",5861,67.75,29.5
"717",14366,52.941847,-73.107078
"718",14648,55.443204,-97.404876
"719",4262,55,-115
"720",3010,48.99722,-97.22917
"721",5895,67.75,29.5
"722",3697,50,-86
"723",3721,45,-63
"724",13795,55.443204,-97.404876
"725",4060,54,-72
"726",13546,60.108611,-113.6425
"727",13900,46.666605,-66.291594
"728",13811,45.290147,-62.735984
"729",13920,55.410147,-105.758445
"730",4233,54,-72
"731",14480,56.159482,-125.441985
"732",13895,51.433288,-87.125633
"733",5096,-16.99833,27.99389
"734",5100,-16.99833,27.99389
"735",5094,-16.99833,27.99389
"736",3123,48.99722,-97.22917
"737",3473,45.5675,-73.19306
"738",14625,45.290147,-62.735984
"739",3395,60,-98
"740",14127,55.443204,-97.404876
"741",13954,46.666605,-66.291594
"742",14527,52.941847,-73.107078
"743",3658,50,-86
"744",13563,60.108611,-113.6425
"745",4199,50,-86
"746",3775,55,-125
"747",4222,55,-125
"748",13905,55.410147,-105.758445
"749",1035,48.95528,-117.00444
"750",861,56.29,-159
"751",14886,-24.8,-148.1
"752",13532,60.108611,-113.6425
"753",3805,55,-115
"754",13800,55.410147,-105.758445
"755",3914,45,-63
"756",14362,46.666605,-66.291594
"757",13610,60.108611,-113.6425
"758",3037,48.99722,-97.22917
